40540	0	83.16	75.25	75.12		0
41661	0	83.11	75.25	75.07		0
42782	0	83.07	75.22	75.06		0
43904	0	83.00	75.20	75.14		0
45025	0	82.97	75.23	75.11		0
46146	0	82.92	75.29	75.07		0
47279	0	82.82	75.28	75.15		0
48400	0	82.82	75.23	75.14		0
49521	0	82.77	75.33	75.07		0
50648	0	82.71	75.23	75.15		0
51769	0	82.64	75.23	75.17		0
52890	0	82.66	75.22	75.14		0
54011	0	82.58	75.29	75.12		0
55133	0	82.56	75.25	75.17		0
56265	0	82.56	75.22	75.09		0
57387	0	82.46	75.26	75.12		0
58508	0	82.48	75.26	75.11		0
59629	0	82.43	75.23	75.20		0
60750	0	82.40	75.25	75.07		0
61872	0	82.38	75.26	75.11		0
62993	0	82.33	75.22	75.14		0
64114	0	82.37	75.23	75.15		0
65235	0	82.22	75.25	75.09		0
66357	0	82.22	75.26	75.09		0
67478	0	82.19	75.26	75.14		0
68599	0	82.19	75.26	75.14		0
69753	0	82.20	75.23	75.12		0
70875	0	82.09	75.23	75.07		0
71996	0	82.12	75.23	75.18		0
73117	0	82.07	75.26	75.09		0
74238	0	82.06	75.22	75.14		0
75360	0	82.04	75.28	75.11		0
76492	0	81.98	75.22	75.14		0
77614	0	81.96	75.26	75.17		0
78735	0	81.96	75.23	75.17		0
79856	0	81.86	75.26	75.09		0
80977	0	81.93	75.25	75.12		0
82099	0	81.80	75.25	75.15		0
83220	0	81.85	75.22	75.14		0
84341	0	81.85	75.23	75.09		0
85463	0	81.83	75.25	75.12		0
86584	0	81.72	75.23	75.15		0
87705	0	81.75	75.26	75.12		0
88833	0	81.74	75.23	75.14		0
89954	0	81.72	75.29	75.15		0
91075	0	81.69	75.26	75.17		0
115	0	81.52	75.25	75.14		0
1240	0	81.61	75.23	75.12		0
2361	0	81.49	75.26	75.14		0
3493	0	81.48	75.26	75.11		0
4615	0	81.48	75.28	75.12		0
5736	0	81.46	75.26	75.20		0
6857	0	81.44	75.20	75.12		0
7979	0	81.38	75.22	75.14		0
9100	0	81.40	75.23	75.12		0
10221	0	81.40	75.26	75.14		0
11342	0	81.31	75.23	75.18		0
12464	0	81.40	75.25	75.11		0
13585	0	81.33	75.25	75.12		0
14706	0	81.30	75.22	75.12		0
15827	0	81.31	75.26	75.12		0
16954	0	81.30	75.25	75.12		0
18075	0	81.22	75.23	75.09		0
19196	0	81.22	75.22	75.12		0
20318	0	81.22	75.25	75.11		0
21439	0	81.23	75.26	75.15		0
22572	0	81.20	75.25	75.12		0
23704	0	81.15	75.22	75.15		0
24825	0	81.17	75.20	75.14		0
25947	0	81.11	75.22	75.17		0
27068	0	81.14	75.22	75.11		0
28189	0	81.11	75.25	75.17		0
29310	0	81.07	75.29	75.11		0
30432	0	81.06	75.23	75.17		0
31553	0	81.11	75.22	75.15		0
32674	0	81.06	75.26	75.11		0
33796	0	81.04	75.25	75.12		0
34917	0	81.01	75.22	75.20		0
36044	0	80.94	75.22	75.09		0
37165	0	80.99	75.22	75.07		0
38286	0	80.96	75.20	75.11		0
39407	0	80.94	75.20	75.09		0
40528	0	80.98	75.22	75.17		0
41650	0	80.90	75.23	75.09		0
42771	0	80.88	75.23	75.09		0
43905	0	80.90	75.25	75.14		0
45036	0	80.86	75.20	75.11		0
46157	0	80.83	75.20	75.15		0
47279	0	80.86	75.22	75.14		0
48400	0	80.82	75.25	75.15		0
49521	0	80.78	75.20	75.15		0
50642	0	80.77	75.22	75.12		0
51764	0	80.78	75.22	75.12		0
52885	0	80.75	75.18	75.12		0
54006	0	80.78	75.22	75.04		0
55134	0	80.75	75.22	75.11		0
56255	0	80.73	75.20	75.06		0
57376	0	80.69	75.20	75.09		0
58498	0	80.72	75.18	75.12		0
59619	0	80.69	75.23	75.12		0
60740	0	80.65	75.20	75.09		0
61861	0	80.70	75.18	75.11		0
62994	0	80.65	75.22	75.17		0
64115	0	80.69	75.20	75.12		0
65236	0	80.57	75.20	75.07		0
66358	0	80.57	75.22	75.09		0
67489	0	80.59	75.18	75.12		0
68611	0	80.57	75.18	75.11		0
69732	0	80.59	75.23	75.12		0
70853	0	80.59	75.18	75.06		0
71974	0	80.53	75.17	75.09		0
73096	0	80.54	75.18	75.11		0
74223	0	80.53	75.17	75.06		0
75344	0	80.45	75.18	75.11		0
76466	0	80.48	75.15	75.06		0
77587	0	80.49	75.22	75.11		0
78708	0	80.49	75.22	75.14		0
79830	0	80.48	75.20	75.11		0
80951	0	80.46	75.14	75.11		0
82072	0	80.40	75.18	75.12		0
83205	0	80.32	75.17	75.11		0
84326	0	80.38	75.15	75.07		0
85447	0	80.38	75.18	75.07		0
86568	0	80.38	75.15	75.04		0
87690	0	80.30	75.15	75.12		0
88811	0	80.33	75.17	75.11		0
89944	0	80.32	75.12	75.11		0
91065	0	80.35	75.15	75.07		0
92186	0	80.32	75.07	75.11		0
93313	0	80.30	75.17	75.14		0
94434	0	80.24	75.14	75.07		0
95555	0	80.17	75.15	75.09		0
96676	0	80.25	75.15	75.11		0
97798	0	80.22	75.11	75.07		0
98919	0	80.20	75.07	75.07		0
100040	0	80.17	75.15	75.07		0
